iter	Passed	Remaining
0	46	46735
1	47	23465
2	47	15697
3	47	11812
4	47	9479
5	47	7924
6	48	6813
7	48	5980
8	48	5331
9	48	4812
10	48	4388
11	48	4034
12	49	3734
13	49	3477
14	49	3254
15	49	3060
16	49	2890
17	50	2740
18	50	2604
19	50	2481
20	50	2369
21	51	2268
22	51	2176
23	51	2091
24	51	2014
25	51	1943
26	52	1876
27	52	1815
28	52	1757
29	52	1703
30	52	1653
31	53	1606
32	53	1562
33	53	1520
34	53	1481
35	53	1444
36	54	1409
37	54	1376
38	54	1344
39	54	1314
40	54	1285
41	55	1258
42	55	1232
43	55	1207
44	55	1184
45	56	1161
46	56	1139
47	56	1119
48	56	1098
49	56	1079
50	57	1061
51	57	1043
52	57	1026
53	57	1010
54	57	994
55	58	978
56	58	963
57	58	949
58	58	936
59	58	922
60	59	909
61	59	897
62	59	885
63	59	873
64	59	861
65	60	850
66	60	840
67	60	828
68	60	818
69	60	808
70	61	798
71	61	789
72	61	780
73	61	771
74	61	762
75	62	754
76	62	746
77	62	738
78	62	730
79	62	723
80	63	715
81	63	708
82	63	701
83	63	694
84	63	686
85	64	680
86	64	673
87	64	666
88	64	660
89	64	654
90	64	648
91	65	644
92	65	638
93	65	633
94	65	627
95	66	622
96	66	617
97	66	612
98	66	607
99	66	602
100	67	597
101	67	591
102	67	587
103	67	582
104	67	578
105	68	573
106	68	569
107	68	564
108	68	560
109	68	556
110	69	552
111	69	548
112	69	544
113	69	541
114	69	537
115	70	534
116	70	530
117	70	527
118	70	523
119	70	519
120	71	516
121	71	513
122	71	509
123	71	506
124	71	503
125	72	500
126	72	497
127	72	494
128	72	491
129	72	488
130	73	485
131	73	482
132	73	480
133	73	477
134	74	474
135	74	471
136	74	469
137	74	466
138	74	463
139	75	461
140	75	458
141	75	456
142	75	453
143	75	451
144	76	448
145	76	446
146	76	444
147	76	441
148	76	439
149	77	437
150	77	435
151	77	432
152	77	430
153	78	428
154	78	426
155	78	424
156	78	422
157	78	420
158	79	418
159	79	416
160	79	414
161	79	412
162	79	410
163	80	408
164	80	407
165	80	405
166	80	403
167	81	402
168	81	400
169	81	398
170	81	396
171	81	394
172	82	392
173	82	391
174	82	389
175	82	387
176	82	385
177	83	384
178	83	382
179	83	380
180	83	378
181	83	377
182	84	375
183	84	374
184	84	372
185	84	370
186	84	369
187	85	367
188	85	366
189	85	365
190	85	363
191	86	362
192	86	360
193	86	359
194	86	357
195	86	356
196	87	355
197	87	353
198	87	352
199	87	350
200	87	349
201	88	348
202	88	346
203	88	345
204	88	344
205	88	342
206	89	341
207	89	340
208	89	340
209	90	338
210	90	337
211	90	336
212	90	335
213	90	333
214	91	332
215	91	331
216	91	330
217	91	328
218	91	327
219	92	326
220	92	325
221	92	324
222	92	323
223	92	321
224	93	320
225	93	319
226	93	318
227	93	317
228	93	316
229	94	315
230	94	313
231	94	312
232	94	312
233	95	311
234	95	310
235	95	309
236	95	308
237	95	307
238	96	305
239	96	304
240	96	303
241	96	302
242	96	301
243	97	300
244	97	299
245	97	298
246	97	297
247	97	296
248	98	295
249	98	294
250	98	293
251	98	292
252	98	292
253	99	291
254	99	290
255	99	289
256	99	288
257	99	287
258	100	286
259	100	285
260	100	284
261	100	283
262	100	282
263	101	282
264	101	281
265	101	280
266	101	279
267	101	278
268	102	277
269	102	276
270	102	275
271	102	275
272	102	274
273	103	273
274	103	272
275	103	271
276	103	270
277	103	269
278	104	269
279	104	268
280	104	267
281	104	266
282	105	266
283	105	265
284	105	264
285	105	263
286	105	262
287	105	262
288	106	261
289	106	260
290	106	259
291	106	258
292	107	258
293	107	257
294	107	256
295	107	255
296	107	255
297	108	254
298	108	253
299	108	253
300	108	252
301	108	251
302	109	250
303	109	250
304	109	249
305	109	248
306	109	247
307	110	247
308	110	246
309	110	246
310	110	245
311	110	244
312	111	243
313	111	243
314	111	242
315	111	241
316	112	241
317	112	240
318	112	240
319	112	239
320	112	238
321	113	238
322	113	237
323	113	236
324	113	236
325	113	235
326	114	234
327	114	234
328	114	233
329	114	233
330	114	232
331	115	231
332	115	231
333	115	230
334	115	229
335	116	229
336	116	228
337	116	227
338	116	227
339	116	226
340	117	226
341	117	225
342	117	224
343	117	224
344	117	223
345	118	223
346	118	222
347	118	221
348	118	221
349	118	220
350	119	220
351	119	219
352	119	218
353	119	218
354	119	217
355	120	217
356	120	216
357	120	216
358	120	215
359	120	214
360	121	214
361	121	213
362	121	213
363	121	212
364	121	212
365	122	211
366	122	211
367	122	210
368	122	209
369	122	209
370	123	208
371	123	208
372	123	207
373	123	207
374	124	206
375	124	206
376	124	205
377	124	205
378	124	204
379	125	204
380	125	203
381	125	203
382	125	202
383	125	201
384	126	201
385	126	200
386	126	200
387	126	199
388	126	199
389	127	198
390	127	198
391	127	197
392	127	197
393	127	196
394	128	196
395	128	195
396	128	195
397	128	194
398	128	194
399	129	193
400	129	193
401	129	192
402	129	192
403	129	191
404	130	191
405	130	190
406	130	190
407	130	189
408	131	189
409	131	188
410	131	188
411	131	187
412	131	187
413	132	186
414	132	186
415	132	185
416	132	185
417	132	185
