iter	Passed	Remaining
0	48	48917
1	50	25018
2	51	17048
3	52	13054
4	53	10670
5	54	9109
6	56	7964
7	57	7096
8	58	6420
9	59	5879
10	60	5433
11	61	5068
12	62	4759
13	63	4495
14	64	4266
15	66	4064
16	67	3886
17	68	3727
18	69	3587
19	71	3518
20	72	3397
21	74	3294
22	75	3207
23	76	3115
24	77	3032
25	78	2954
26	80	2885
27	81	2818
28	82	2754
29	83	2702
30	84	2649
31	85	2598
32	87	2558
33	88	2513
34	89	2469
35	90	2427
36	91	2389
37	92	2350
38	93	2314
39	95	2281
40	96	2259
41	97	2230
42	103	2301
43	104	2272
44	105	2243
45	107	2219
46	108	2200
47	109	2176
48	114	2221
49	116	2205
50	117	2180
51	118	2155
52	119	2132
53	120	2108
54	121	2087
55	122	2068
56	123	2047
57	125	2034
58	126	2019
59	127	2001
60	128	1983
61	129	1966
62	131	1951
63	132	1935
64	133	1915
65	133	1895
66	134	1875
67	135	1855
68	136	1838
69	137	1820
70	137	1802
71	138	1785
72	139	1772
73	140	1756
74	141	1739
75	141	1722
76	142	1710
77	143	1694
78	143	1677
79	144	1660
80	144	1644
81	145	1629
82	145	1611
83	146	1596
84	147	1582
85	147	1567
86	148	1554
87	148	1540
88	149	1526
89	149	1512
90	150	1498
91	150	1485
92	150	1471
93	151	1458
94	151	1445
95	152	1432
96	152	1419
97	152	1407
98	153	1397
99	153	1385
100	154	1374
101	154	1362
102	155	1351
103	155	1341
104	156	1331
105	156	1321
106	157	1311
107	157	1300
108	157	1290
109	158	1279
110	158	1269
111	158	1260
112	159	1250
113	159	1240
114	160	1231
115	160	1222
116	160	1212
117	160	1203
118	161	1194
119	161	1185
120	162	1176
121	162	1167
122	162	1159
123	162	1151
124	163	1143
125	163	1135
126	163	1126
127	164	1118
128	164	1111
129	164	1104
130	165	1096
131	165	1088
132	165	1081
133	166	1074
134	166	1066
135	166	1059
136	167	1052
137	167	1045
138	167	1038
139	167	1031
140	168	1025
141	168	1017
142	168	1011
143	169	1004
144	169	998
145	169	992
146	169	986
147	170	980
148	170	974
149	170	968
150	171	962
151	171	956
152	171	950
153	172	945
154	172	939
155	172	934
156	172	928
157	173	923
158	173	917
159	173	912
160	173	906
161	174	900
162	174	895
163	174	890
164	174	885
165	175	880
166	175	875
167	175	870
168	176	865
169	176	860
170	176	855
171	176	851
172	177	846
173	177	841
174	177	837
175	177	832
176	178	828
177	178	823
178	178	819
179	178	815
180	179	810
181	179	806
182	179	802
183	179	798
184	180	793
185	180	789
186	180	785
187	180	781
188	181	777
189	181	773
190	181	769
191	181	765
192	182	761
193	182	757
194	182	753
195	182	750
196	183	746
197	183	742
198	183	739
199	183	735
200	184	731
201	184	727
202	184	724
203	184	720
204	184	717
205	185	713
206	185	710
207	185	707
208	185	703
209	186	700
210	186	697
211	186	693
212	186	690
213	187	687
214	187	684
215	187	680
216	187	677
217	188	674
218	188	671
219	188	668
220	188	665
221	189	662
222	189	659
223	189	656
224	189	653
225	189	650
226	190	647
227	190	644
228	190	641
229	190	638
230	190	635
231	191	633
232	191	630
233	191	627
234	191	624
235	192	621
236	192	618
237	192	616
238	192	613
